Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000107313.1,16,11,18,25,22,29,29,24
ENSMUSG00000041264.16,3193,2777,3562,2855,3379,4783,4662,4251
ENSMUSG00000100783.1,0,6,13,12,16,14,21,10
ENSMUSG00000100465.1,18,25,30,30,14,34,36,13
ENSMUSG00000105790.1,0,0,0,0,0,0,0,0
ENSMUSG00000092674.2,0,0,0,0,0,0,0,0
ENSMUSG00000060063.9,149,111,167,186,184,216,201,224
ENSMUSG00000064704.1,0,0,0,0,0,0,0,0
ENSMUSG00000107317.1,85,38,55,41,76,64,70,77
ENSMUSG00000107271.3,4,1,9,2,5,6,10,3
ENSMUSG00000107314.1,6,4,5,6,1,2,2,1
ENSMUSG00000107152.1,0,1,0,0,3,1,0,2
ENSMUSG00000029659.16,870,613,986,1018,662,1317,957,979
ENSMUSG00000106750.1,0,1,0,0,0,0,0,0
ENSMUSG00000106777.1,0,0,0,0,0,1,6,0
ENSMUSG00000029660.10,0,14,14,30,27,31,28,19
ENSMUSG00000107164.1,13,0,2,6,12,2,13,6
ENSMUSG00000107132.1,5,9,10,14,7,15,7,12
ENSMUSG00000106879.1,4,2,2,7,0,2,4,5
ENSMUSG00000029658.17,40,34,52,39,16,32,60,25
ENSMUSG00000029657.15,21138,18338,21693,19336,26487,40262,36676,36150
ENSMUSG00000106674.1,3,3,2,0,0,2,2,2
ENSMUSG00000080002.2,6,4,2,2,2,2,6,10
ENSMUSG00000051950.10,1932,1331,2045,1466,1597,2160,2034,2035
ENSMUSG00000106740.1,0,0,0,0,0,0,1,0
ENSMUSG00000107214.3,2,0,6,2,6,0,2,2
ENSMUSG00000107279.1,0,0,0,0,0,0,0,1
ENSMUSG00000107093.1,0,0,0,0,0,1,0,0
ENSMUSG00000107112.1,12,4,2,0,9,4,2,3
ENSMUSG00000107056.1,0,0,0,0,0,0,0,0
ENSMUSG00000053368.13,177,128,54,55,202,345,168,218
ENSMUSG00000107360.1,0,0,1,0,0,0,0,0
ENSMUSG00000107384.1,0,0,0,0,0,0,0,0
ENSMUSG00000056602.12,12899,9488,13611,12902,11273,17246,14979,17345
ENSMUSG00000107082.1,0,0,0,0,0,0,0,0
ENSMUSG00000106719.1,0,0,0,0,0,0,0,0
ENSMUSG00000118543.1,3,4,1,0,0,1,0,0
ENSMUSG00000107262.1,0,1,0,0,0,1,0,0
ENSMUSG00000106738.1,34,11,34,18,16,24,14,27
ENSMUSG00000056586.8,61,20,40,35,18,44,21,18
ENSMUSG00000082104.1,0,0,4,1,0,2,0,1
ENSMUSG00000041147.10,540,406,523,461,440,599,553,573
ENSMUSG00000095531.1,0,0,0,0,0,0,0,0
ENSMUSG00000088482.1,0,0,0,0,0,0,0,0
ENSMUSG00000106764.1,0,0,0,0,0,0,0,3
ENSMUSG00000107178.1,1,2,1,2,0,8,0,4
ENSMUSG00000106980.1,12,17,52,21,14,25,23,26
ENSMUSG00000041132.11,1709,1622,2438,1717,1546,2137,2280,2013
ENSMUSG00000106927.1,8,14,16,4,4,10,13,14
ENSMUSG00000107096.3,994,1179,1213,1111,1151,1624,1481,1311
ENSMUSG00000029655.17,2373,1850,2965,2670,2446,3312,3417,3222
ENSMUSG00000034021.15,9638,8119,12587,10627,11357,16241,14471,14779
ENSMUSG00000084717.1,0,0,0,0,0,0,0,0
ENSMUSG00000077592.1,0,0,0,0,0,0,0,0
ENSMUSG00000107048.1,0,0,0,0,0,0,0,0
ENSMUSG00000106692.1,15,17,11,39,7,22,16,12
ENSMUSG00000107047.1,0,0,0,0,0,0,0,0
ENSMUSG00000058488.7,123,160,133,187,276,191,216,198
ENSMUSG00000106963.1,0,2,8,2,4,0,0,4
ENSMUSG00000016128.14,575,478,733,706,716,869,845,715
ENSMUSG00000107011.1,0,0,0,1,1,0,0,0
ENSMUSG00000107387.1,1,0,0,0,0,0,0,0
ENSMUSG00000107154.1,0,0,0,1,0,0,0,0
ENSMUSG00000054622.4,10,0,6,0,2,4,2,0
ENSMUSG00000097321.5,74,64,125,54,80,87,118,75
ENSMUSG00000107123.1,0,0,1,4,2,0,0,0
ENSMUSG00000106703.1,0,0,0,1,0,0,0,0
ENSMUSG00000091794.3,0,0,0,0,0,0,2,0
ENSMUSG00000106759.1,0,0,0,0,0,0,0,0
ENSMUSG00000033970.15,324,236,298,281,279,424,371,284
ENSMUSG00000107326.1,0,0,0,0,0,0,0,0
ENSMUSG00000107241.1,0,0,0,0,0,0,0,0
ENSMUSG00000095272.1,9,2,8,6,0,4,2,4
ENSMUSG00000092806.2,0,0,0,0,0,0,0,0
ENSMUSG00000094571.1,0,0,0,0,0,0,0,0
ENSMUSG00000106974.1,0,2,0,1,0,0,1,0
ENSMUSG00000107380.1,0,0,0,0,1,0,0,0
ENSMUSG00000106893.1,0,1,0,0,0,0,0,0
ENSMUSG00000107185.1,0,1,0,0,0,2,2,0
ENSMUSG00000107233.1,0,0,0,0,0,0,4,1
ENSMUSG00000107601.1,0,0,1,0,0,0,0,0
ENSMUSG00000106955.1,0,0,0,0,0,0,0,0
ENSMUSG00000106945.1,0,0,0,0,0,0,0,0
ENSMUSG00000106779.1,0,0,0,0,0,0,0,0
ENSMUSG00000107184.1,0,0,1,4,0,0,0,1
ENSMUSG00000107017.1,2,2,0,4,2,4,4,3
ENSMUSG00000106734.3,30,20,58,44,63,71,58,62
ENSMUSG00000107222.1,0,0,0,0,0,0,0,0
ENSMUSG00000107215.1,4,12,15,11,24,7,20,24
ENSMUSG00000047735.14,324,153,338,343,374,422,481,450
ENSMUSG00000044156.14,36,8,36,33,30,55,24,34
ENSMUSG00000001376.17,7502,5882,7342,6168,6972,9949,9351,9705
ENSMUSG00000107094.1,0,6,2,0,0,0,0,6
ENSMUSG00000023964.15,0,1,0,5,0,0,3,0
ENSMUSG00000076357.2,0,0,0,0,0,0,0,0
ENSMUSG00000070107.1,0,0,0,0,0,0,0,0
ENSMUSG00000108091.1,0,0,0,0,0,0,0,0
ENSMUSG00000029664.10,3,4,2,6,7,8,12,8
ENSMUSG00000029663.10,0,0,1,0,0,0,0,0
ENSMUSG00000032766.9,278,221,309,319,395,510,461,459
ENSMUSG00000107681.1,0,0,0,0,0,0,0,0
ENSMUSG00000032757.6,1490,1223,1755,1263,1653,2030,2289,1889
ENSMUSG00000108139.1,0,0,0,0,0,0,0,0
ENSMUSG00000107510.1,0,0,0,0,0,0,0,0
ENSMUSG00000098779.2,0,0,2,0,0,0,4,2
ENSMUSG00000107564.1,0,0,0,0,0,0,0,0
ENSMUSG00000108014.1,0,0,0,1,4,2,0,0
ENSMUSG00000087863.1,0,0,0,0,0,0,0,0
ENSMUSG00000107450.1,0,0,0,0,0,0,0,0
ENSMUSG00000102946.2,0,0,0,1,0,0,1,0
ENSMUSG00000029661.16,2800,3232,2816,4758,6634,5611,5777,5398
ENSMUSG00000107603.1,0,0,0,0,0,0,0,0
ENSMUSG00000107828.1,0,0,2,1,0,0,0,1
ENSMUSG00000097513.1,2,6,2,1,0,5,6,2
ENSMUSG00000015189.12,6443,5227,7737,6322,6244,8235,9074,8428
ENSMUSG00000107932.1,0,2,0,1,2,0,0,0
ENSMUSG00000004631.15,1732,1472,1979,1552,1724,2431,2172,1978
ENSMUSG00000092035.8,1718,1114,1514,1616,1875,2410,2321,2717
ENSMUSG00000107977.1,0,0,0,0,0,0,0,0
ENSMUSG00000093570.3,0,0,1,0,0,0,0,0
ENSMUSG00000097630.2,0,0,0,0,0,0,0,0
ENSMUSG00000083041.2,2,0,1,0,0,0,0,0
ENSMUSG00000032827.15,34798,24118,36717,32344,30897,41844,40618,44994
ENSMUSG00000097385.1,3,5,1,0,4,6,8,0
ENSMUSG00000097464.1,15,18,14,4,2,7,0,2
ENSMUSG00000097396.1,0,0,2,0,0,0,0,0
ENSMUSG00000002588.13,0,1,0,1,0,4,0,0
ENSMUSG00000107881.1,187,128,227,190,256,222,208,160
ENSMUSG00000029759.9,163,119,203,138,196,167,242,189
ENSMUSG00000032667.17,4732,3685,5872,3954,5223,5420,5886,4937
ENSMUSG00000107668.1,0,1,2,0,3,0,0,0
ENSMUSG00000042607.15,15,10,35,24,65,52,40,30
ENSMUSG00000019577.6,955,687,1311,887,1011,920,1043,979
ENSMUSG00000029757.16,12637,10986,13061,11053,10228,16327,16571,14487
ENSMUSG00000085416.1,2,2,1,0,1,3,0,0
ENSMUSG00000015112.15,87,81,76,73,93,111,114,121
ENSMUSG00000093482.8,0,0,6,0,0,0,2,3
ENSMUSG00000097669.1,2,0,0,0,0,0,0,0
ENSMUSG00000097175.1,1,1,0,0,0,0,0,1
ENSMUSG00000097900.1,2,2,9,3,4,2,10,5
ENSMUSG00000093658.1,1,4,6,0,0,0,0,0
ENSMUSG00000093380.1,0,0,0,0,0,0,0,1
ENSMUSG00000042541.10,2879,2394,3213,2446,3053,4135,4346,3623
ENSMUSG00000093675.7,12,3,3,2,13,12,6,5
ENSMUSG00000093581.1,0,0,0,0,0,0,0,0
ENSMUSG00000093651.1,0,1,1,5,4,5,6,2
ENSMUSG00000090063.6,1326,1176,1618,1284,1715,1850,2162,1988
ENSMUSG00000098963.1,0,0,0,0,0,0,0,0
ENSMUSG00000098846.1,0,0,0,0,0,0,0,0
ENSMUSG00000107967.1,4,0,4,0,0,0,0,0
ENSMUSG00000029754.13,343,384,400,286,403,478,494,474
ENSMUSG00000094868.1,0,6,1,3,3,3,0,0
ENSMUSG00000098326.1,0,0,0,0,0,0,0,0
ENSMUSG00000029755.10,201,219,255,185,271,348,311,303
ENSMUSG00000065770.1,0,0,0,0,0,0,0,0
ENSMUSG00000097356.1,0,0,0,0,0,0,1,0
ENSMUSG00000042505.6,1053,842,1123,975,1013,1454,1441,1404
ENSMUSG00000098421.1,0,0,0,0,0,0,0,0
ENSMUSG00000099178.1,0,1,0,0,0,0,0,0
ENSMUSG00000098501.7,0,0,0,1,0,0,0,0
ENSMUSG00000107517.1,0,0,1,0,0,0,0,0
ENSMUSG00000107493.1,0,0,0,0,0,0,0,0
ENSMUSG00000061762.12,666,730,753,647,866,1109,1720,1075
ENSMUSG00000099182.1,0,0,0,0,0,0,0,0
ENSMUSG00000029752.12,8286,7134,7852,7151,7699,11618,11206,11192
ENSMUSG00000107394.1,0,0,0,0,0,0,0,0
ENSMUSG00000107844.1,0,0,0,0,0,0,0,0
ENSMUSG00000042460.5,2777,2183,3434,3088,3137,4000,4631,4186
ENSMUSG00000107549.1,4,0,0,8,0,2,4,4
ENSMUSG00000107763.1,2,1,0,3,0,0,3,0
ENSMUSG00000084418.1,0,0,0,0,0,0,0,0
ENSMUSG00000096403.2,1088,996,1221,1057,1238,1652,1684,1494
ENSMUSG00000068794.7,129,131,191,141,166,174,209,164
ENSMUSG00000042447.13,1944,1477,1834,1633,1707,2303,2399,2508
ENSMUSG00000012483.4,467,396,528,443,558,677,627,613
ENSMUSG00000089862.8,3565,2804,4312,3562,3796,5111,5174,4167
ENSMUSG00000107705.1,0,0,0,0,0,0,0,0
ENSMUSG00000089890.1,3,0,0,5,1,11,11,6
ENSMUSG00000089735.1,0,0,0,0,0,0,0,0
ENSMUSG00000090151.1,0,0,2,0,0,2,0,0
ENSMUSG00000088118.1,0,0,0,0,0,0,2,0
ENSMUSG00000087305.8,167,122,200,149,202,234,280,190
ENSMUSG00000077250.1,0,0,0,0,0,0,0,0
ENSMUSG00000029638.17,28,27,30,40,19,65,40,33
ENSMUSG00000107724.1,0,0,0,0,0,0,0,0
ENSMUSG00000062995.12,2999,2584,3067,2586,2751,3920,3810,3525
ENSMUSG00000046178.3,3392,2778,3640,3065,3534,4232,4777,4387
ENSMUSG00000107851.1,0,0,0,0,0,0,0,0
ENSMUSG00000107459.1,0,1,2,1,1,0,1,0
ENSMUSG00000107762.1,0,0,0,0,0,0,0,0
ENSMUSG00000108222.1,0,0,0,0,0,0,0,0
ENSMUSG00000108249.1,0,0,0,0,0,0,0,0
ENSMUSG00000094367.1,4,4,8,0,10,4,14,18
ENSMUSG00000098845.1,0,0,0,0,0,0,0,0
ENSMUSG00000108078.1,1,0,0,0,0,0,0,0
ENSMUSG00000107847.1,0,0,0,0,0,0,0,0
ENSMUSG00000107948.2,0,0,0,0,0,0,0,0
ENSMUSG00000029632.7,18948,16187,20546,15567,18632,25603,26213,23686
ENSMUSG00000029629.17,5124,3937,5573,5025,4691,6414,6452,6114
ENSMUSG00000057223.6,2,0,1,6,0,3,1,0
ENSMUSG00000108209.1,0,0,0,0,0,0,0,0
ENSMUSG00000032625.14,5654,3258,6333,6159,4905,7343,6616,7182
ENSMUSG00000083794.1,0,0,0,0,0,2,0,0
ENSMUSG00000107422.1,0,0,0,0,0,0,0,0
ENSMUSG00000065030.1,0,0,0,0,0,0,0,0
ENSMUSG00000083620.1,0,0,0,0,0,0,0,0
ENSMUSG00000108050.1,0,0,0,0,0,0,0,0
ENSMUSG00000098052.1,0,0,0,0,0,0,0,2
ENSMUSG00000029571.14,16779,12319,19526,15446,16279,20391,20759,20409
ENSMUSG00000077643.1,0,0,0,0,0,0,0,0
ENSMUSG00000079679.3,4,2,6,8,12,2,4,6
ENSMUSG00000118525.1,0,0,0,0,0,0,0,0
ENSMUSG00000101894.1,1,0,0,0,0,2,0,0
ENSMUSG00000107500.1,2,0,0,2,0,0,0,0
ENSMUSG00000095489.1,4,5,2,0,0,2,0,0
ENSMUSG00000029569.9,1026,907,1182,1043,1479,1732,1634,1633
ENSMUSG00000042742.7,2845,2127,3249,2560,3196,4160,4200,4131
ENSMUSG00000048216.13,3092,3057,3974,3416,3708,5138,5008,4903
ENSMUSG00000052419.7,2186,1952,2516,1853,2299,2968,3251,2783
ENSMUSG00000097616.7,192,118,157,139,173,250,243,235
ENSMUSG00000107562.1,0,0,0,0,0,0,0,0
ENSMUSG00000107942.1,0,0,0,0,0,0,0,0
ENSMUSG00000108205.1,0,0,0,0,0,0,0,0
ENSMUSG00000088975.1,0,0,0,0,0,0,0,0
ENSMUSG00000107403.1,0,0,0,0,0,0,0,0
ENSMUSG00000077334.1,0,0,0,0,0,0,0,0
ENSMUSG00000107657.1,0,0,0,0,0,0,0,0
ENSMUSG00000042717.5,2,0,0,6,0,0,6,4
ENSMUSG00000029563.16,270,178,207,220,412,356,411,432
ENSMUSG00000093317.1,0,0,0,0,0,0,0,0
ENSMUSG00000107703.1,0,0,0,0,0,0,0,0
ENSMUSG00000041390.18,249,188,270,263,356,252,349,314
ENSMUSG00000108046.1,0,0,2,0,4,0,0,0
ENSMUSG00000108048.1,2,0,0,0,0,0,0,0
ENSMUSG00000108201.1,0,0,0,0,0,0,0,0
ENSMUSG00000107885.1,0,0,0,0,0,0,0,0
ENSMUSG00000108089.1,0,0,1,0,0,0,1,0
ENSMUSG00000108295.2,0,0,0,0,0,0,0,0
ENSMUSG00000108025.1,2,0,0,2,0,0,0,0
ENSMUSG00000107022.1,0,0,0,0,0,0,0,0
ENSMUSG00000029553.10,12,4,8,4,10,21,5,10
ENSMUSG00000081744.1,0,0,0,0,0,0,0,0
ENSMUSG00000084772.1,0,3,0,5,4,0,2,1
ENSMUSG00000054556.6,171,197,168,167,163,224,243,283
ENSMUSG00000029552.19,141,93,188,166,231,229,189,198
ENSMUSG00000085171.7,0,0,0,0,8,0,0,4
ENSMUSG00000085264.1,4,6,4,10,24,10,8,16
ENSMUSG00000000058.6,2539,1834,2620,2145,3802,4326,3221,4536
ENSMUSG00000007655.16,1139,804,1322,1139,1480,1592,1677,1491
ENSMUSG00000100101.1,0,2,0,0,0,0,0,0
ENSMUSG00000093902.1,0,0,0,0,0,0,0,2
ENSMUSG00000009376.15,2153,1828,2557,1512,2473,3359,2341,3451
ENSMUSG00000015733.13,23590,19277,28352,21119,23434,31463,32542,29478
ENSMUSG00000029534.17,845,1014,989,884,941,1313,1429,1227
ENSMUSG00000098767.1,0,0,0,0,0,0,0,0
ENSMUSG00000098567.1,0,0,0,0,0,0,0,0
ENSMUSG00000098874.1,0,0,2,0,0,0,1,0
ENSMUSG00000098525.1,0,0,0,0,0,0,0,0
ENSMUSG00000099244.1,0,0,0,0,0,0,0,0
ENSMUSG00000098988.1,0,0,0,0,0,0,0,1
ENSMUSG00000086409.3,0,0,0,0,0,0,0,0
ENSMUSG00000081077.1,0,0,0,0,0,0,0,0
ENSMUSG00000106822.1,0,0,0,0,1,0,0,0
ENSMUSG00000106801.1,0,0,0,0,0,0,0,0
ENSMUSG00000097700.1,0,0,0,0,0,0,0,0
ENSMUSG00000098570.1,0,0,0,0,0,0,0,0
ENSMUSG00000098791.1,0,0,0,0,0,0,0,0
ENSMUSG00000106858.1,4,16,10,10,10,6,4,8
ENSMUSG00000010797.6,444,224,386,298,319,547,410,473
ENSMUSG00000010796.11,0,0,0,0,0,0,0,0
ENSMUSG00000107177.1,0,0,0,0,0,0,2,1
ENSMUSG00000084203.1,0,0,1,1,2,0,0,0
ENSMUSG00000082289.1,0,4,4,0,4,4,2,4
ENSMUSG00000041301.15,64,77,34,69,32,47,68,62
ENSMUSG00000087389.1,0,0,0,0,0,0,0,0
ENSMUSG00000080767.1,0,0,0,0,0,0,0,0
ENSMUSG00000000416.16,6240,4920,6693,5952,6012,9147,8618,7746
ENSMUSG00000084947.1,14,25,10,18,15,28,9,24
ENSMUSG00000106944.1,76,57,65,117,56,105,77,125
ENSMUSG00000093271.1,0,0,0,0,0,0,0,0
ENSMUSG00000095722.1,0,0,0,0,0,0,0,0
ENSMUSG00000107299.1,0,0,0,0,0,0,0,0
ENSMUSG00000071568.5,79,29,88,80,81,113,99,79
ENSMUSG00000106874.1,311,239,262,287,320,413,415,402
ENSMUSG00000044155.11,1544,1315,1943,1605,1926,2464,2437,2292
ENSMUSG00000029517.13,4,10,12,10,3,6,10,10
ENSMUSG00000106819.1,0,0,0,0,0,0,0,0
ENSMUSG00000084650.1,0,0,0,0,0,0,0,0
ENSMUSG00000107349.1,0,0,0,0,0,0,0,3
ENSMUSG00000107217.1,0,0,0,0,0,0,0,0
ENSMUSG00000106885.1,0,6,6,6,0,0,8,2
ENSMUSG00000088880.1,0,0,0,0,0,0,0,0
ENSMUSG00000099149.1,0,0,0,0,0,0,0,0
ENSMUSG00000065702.1,0,0,0,0,0,0,0,0
ENSMUSG00000107100.1,0,0,0,0,0,0,0,0
ENSMUSG00000106814.1,0,0,0,0,0,0,0,0
ENSMUSG00000107067.1,0,0,0,0,0,0,0,0
ENSMUSG00000106763.1,0,0,0,0,0,0,0,0
ENSMUSG00000087831.1,0,0,0,0,0,0,0,0
ENSMUSG00000088458.1,0,0,0,0,0,0,0,0
ENSMUSG00000060882.5,8673,6381,9460,8463,8714,12505,11842,11490
ENSMUSG00000106826.1,0,2,2,2,5,2,0,2
ENSMUSG00000107097.1,0,0,0,0,1,0,0,0
ENSMUSG00000106855.1,3,12,0,0,2,4,0,2
ENSMUSG00000029669.14,1489,960,1420,1098,1707,1500,1723,1662
ENSMUSG00000106709.1,0,2,0,0,0,0,0,0
ENSMUSG00000106871.1,0,0,0,0,0,0,0,1
ENSMUSG00000029670.12,1406,1204,1632,1305,1494,1768,1810,1699
ENSMUSG00000062980.15,287,238,255,425,566,456,558,495
ENSMUSG00000106736.1,0,2,0,4,0,2,2,0
ENSMUSG00000029671.15,94,78,83,131,213,122,113,171
ENSMUSG00000029672.16,6031,4975,6158,5310,5458,7683,7505,7178
ENSMUSG00000107282.1,0,0,0,0,0,0,0,0
ENSMUSG00000098187.1,2,2,6,4,3,5,4,4
ENSMUSG00000106803.1,0,7,3,4,4,2,7,4
ENSMUSG00000107303.1,0,0,0,0,0,0,0,0
ENSMUSG00000096079.1,0,0,0,0,0,0,0,0
ENSMUSG00000096721.1,0,0,0,0,0,0,0,0
ENSMUSG00000107059.1,0,1,0,0,0,0,0,0
ENSMUSG00000068748.7,30058,23023,35699,27731,31764,34194,36957,31769
ENSMUSG00000029695.13,802,781,1031,682,507,813,824,556
ENSMUSG00000117306.1,0,0,0,0,0,0,0,0
ENSMUSG00000106989.1,0,0,0,0,1,1,0,0
ENSMUSG00000117101.1,0,0,0,0,0,0,0,0
ENSMUSG00000107032.2,0,0,0,0,1,1,0,0
ENSMUSG00000029697.6,4,0,6,4,6,4,5,5
ENSMUSG00000106775.1,0,1,0,0,0,0,4,2
ENSMUSG00000017978.18,8250,5458,7759,6619,7416,10670,9593,10438
ENSMUSG00000098877.1,0,0,0,0,0,0,0,0
ENSMUSG00000088885.1,0,0,0,0,0,0,0,0
ENSMUSG00000051956.4,1,2,0,0,0,2,0,0
ENSMUSG00000078179.1,0,0,0,0,1,0,0,0
ENSMUSG00000043865.3,0,0,0,0,0,0,0,0
ENSMUSG00000029700.11,7,8,17,20,18,8,16,28
ENSMUSG00000093580.1,0,0,0,0,0,0,0,0
ENSMUSG00000096522.1,0,0,0,0,0,0,0,0
ENSMUSG00000046192.4,77,52,100,62,55,72,97,80
ENSMUSG00000023089.12,4202,3777,4948,3886,4671,6373,6435,5821
ENSMUSG00000029685.15,2,4,0,4,6,0,6,6
ENSMUSG00000107189.1,0,1,1,0,0,0,0,0
ENSMUSG00000029683.7,0,0,0,0,0,0,0,0
ENSMUSG00000029684.14,9504,8728,11634,9355,9851,13304,13935,12571
ENSMUSG00000106946.1,0,3,2,0,0,5,3,0
ENSMUSG00000029679.7,0,0,0,7,0,0,4,6
ENSMUSG00000029680.2,0,0,0,0,0,0,0,0
ENSMUSG00000029682.5,0,0,0,0,0,1,0,0
ENSMUSG00000107223.1,0,0,0,0,0,0,0,0
ENSMUSG00000029678.8,0,0,0,0,0,0,0,0
ENSMUSG00000077196.1,0,0,0,0,0,0,0,0
ENSMUSG00000048022.11,5463,3332,5555,4257,6755,6562,6681,6359
ENSMUSG00000107212.1,0,0,0,0,0,1,0,0
ENSMUSG00000087867.1,0,0,0,0,0,0,0,0
ENSMUSG00000089442.1,1,0,0,0,0,0,0,0
ENSMUSG00000039904.9,1315,764,904,702,990,1348,1100,1100
ENSMUSG00000029676.15,1329,807,1375,969,1178,1545,1655,1486
ENSMUSG00000106799.1,0,0,0,0,0,1,0,0
ENSMUSG00000107127.1,0,0,0,0,0,0,0,0
ENSMUSG00000088387.1,0,0,0,0,0,0,0,0
ENSMUSG00000106742.1,0,0,0,0,0,0,0,0
ENSMUSG00000024211.15,1098,1337,1028,866,1522,1868,2053,2256
ENSMUSG00000107377.1,0,0,0,0,0,0,0,0
ENSMUSG00000088391.1,0,0,0,0,0,0,0,0
ENSMUSG00000076067.1,0,0,0,0,0,0,0,0
ENSMUSG00000106990.1,474,393,556,467,638,851,827,764
ENSMUSG00000043340.3,10,16,19,11,19,19,10,23
ENSMUSG00000107320.1,15,20,8,21,12,25,30,26
ENSMUSG00000106959.1,4,2,6,3,4,5,1,12
ENSMUSG00000039841.14,694,444,783,620,762,939,946,1057
ENSMUSG00000083107.1,1,4,0,0,0,0,0,0
ENSMUSG00000029708.9,1789,1492,2114,1597,2026,2508,2465,2293
ENSMUSG00000020440.13,6795,6050,9426,7251,8073,10060,10909,8428
ENSMUSG00000029707.6,6,5,1,2,4,6,1,8
ENSMUSG00000029706.15,12,2,6,2,8,11,6,16
ENSMUSG00000107130.1,0,0,0,0,0,0,0,0
ENSMUSG00000001424.14,6873,6362,7638,6248,6071,9017,9141,8180
ENSMUSG00000104325.1,0,0,0,0,0,0,0,1
ENSMUSG00000103132.1,0,0,0,0,0,0,0,1
ENSMUSG00000049939.6,10881,8459,11782,10270,9936,14021,13635,12902
ENSMUSG00000103899.1,78,63,103,91,95,127,99,123
ENSMUSG00000092090.2,82,88,91,95,88,127,121,130
ENSMUSG00000065469.1,0,0,0,0,0,0,0,0
ENSMUSG00000059201.12,0,1,0,0,1,0,0,0
ENSMUSG00000064436.1,0,0,1,0,0,0,0,0
ENSMUSG00000029701.15,2736,2566,3040,3042,3306,4473,4080,3944
ENSMUSG00000095596.1,0,0,0,0,0,0,0,0
ENSMUSG00000079654.3,137,91,194,128,163,189,189,150
ENSMUSG00000003500.13,6640,5312,7178,6008,6287,9789,9051,8399
ENSMUSG00000089289.1,0,0,0,0,0,0,0,0
ENSMUSG00000043421.8,351,275,365,340,289,439,440,412
ENSMUSG00000079652.8,8,9,21,19,5,19,11,17
ENSMUSG00000039742.15,0,0,0,0,0,1,0,0
ENSMUSG00000090692.1,0,0,0,0,0,0,0,0
ENSMUSG00000029767.16,10146,8505,11082,9121,11453,13189,14966,12810
ENSMUSG00000058831.13,12,3,11,12,16,2,24,5
ENSMUSG00000029769.16,6448,5461,6762,5656,4969,7393,7113,5932
ENSMUSG00000092956.1,0,0,0,0,0,0,0,0
ENSMUSG00000104796.1,4,1,2,2,6,0,1,4
ENSMUSG00000068699.12,131,214,178,245,269,205,239,321
ENSMUSG00000004285.12,7032,6566,8225,6527,7355,10307,10847,9161
ENSMUSG00000090685.1,1,0,0,0,0,5,0,0
ENSMUSG00000059022.15,158,107,164,164,173,239,237,130
ENSMUSG00000088643.1,0,0,0,2,1,0,0,2
ENSMUSG00000097137.1,0,0,0,2,0,1,0,0
ENSMUSG00000029771.12,280,231,335,283,297,360,312,280
ENSMUSG00000012535.14,6556,5211,6926,5747,6499,9000,8522,8520
ENSMUSG00000106904.1,8,4,2,8,4,6,0,10
ENSMUSG00000001763.14,1757,1644,2053,1585,1668,2484,2207,1995
ENSMUSG00000001761.7,1379,1097,1568,1423,1677,1275,1500,1527
ENSMUSG00000081564.1,2,0,6,0,0,4,0,1
ENSMUSG00000029772.17,10981,8437,12101,10388,12546,14460,13873,14315
ENSMUSG00000107012.1,1,1,1,0,0,2,1,0
ENSMUSG00000039629.14,3108,2256,4105,3683,3462,4494,4529,4083
ENSMUSG00000082036.1,1,0,2,0,0,0,2,3
ENSMUSG00000065078.1,0,0,0,0,0,0,0,0
ENSMUSG00000083961.1,0,0,1,0,3,0,0,2
ENSMUSG00000045709.11,8,0,8,6,6,14,6,15
ENSMUSG00000095989.1,0,0,2,0,0,0,0,0
ENSMUSG00000058440.14,1040,997,1332,1092,1318,1824,1925,1726
ENSMUSG00000065343.1,0,0,0,0,0,1,0,0
ENSMUSG00000076361.1,0,0,0,0,0,0,0,0
ENSMUSG00000065586.1,0,0,0,0,0,0,0,0
ENSMUSG00000065619.2,0,0,0,0,0,0,0,0
ENSMUSG00000103108.2,0,0,0,0,0,1,1,1
ENSMUSG00000039159.16,9116,7521,10765,7767,9257,12419,11861,11146
ENSMUSG00000084861.1,0,0,0,0,1,0,0,0
ENSMUSG00000087846.1,0,0,0,0,0,0,0,0
ENSMUSG00000039130.18,2105,1761,2351,1885,1969,3016,2768,2619
ENSMUSG00000065662.1,0,0,0,0,0,0,0,1
ENSMUSG00000029775.14,11932,9648,13694,10722,12834,16099,16735,16211
ENSMUSG00000085470.1,4,4,0,6,3,11,5,6
ENSMUSG00000029782.19,2403,1823,2583,2152,2038,2805,2715,2734
ENSMUSG00000029784.13,7,7,10,16,10,6,12,21
ENSMUSG00000071553.10,189,111,181,134,143,139,143,141
ENSMUSG00000039070.5,41,21,41,18,29,23,17,16
ENSMUSG00000086854.1,2,4,1,0,0,0,4,0
ENSMUSG00000029788.13,0,0,2,5,3,2,0,3
ENSMUSG00000054446.8,2,3,0,2,9,9,7,2
ENSMUSG00000029790.16,486,525,510,463,762,1073,1074,1038
ENSMUSG00000086542.1,0,0,0,0,0,1,0,0
ENSMUSG00000083221.1,0,0,0,0,0,0,0,0
ENSMUSG00000051855.15,2262,1571,2435,2449,2521,3179,3222,3279
ENSMUSG00000098260.1,0,0,0,0,0,0,0,0
ENSMUSG00000107825.1,2,0,0,0,1,0,0,0
ENSMUSG00000099073.1,0,0,0,0,0,1,0,0
ENSMUSG00000065501.1,1,0,0,0,2,0,1,0
